name,feature_easting,feature_northing,pointx_class
Tylorstown Health Clinic,300989,194769,5280365
The Fulbrook Centre - Community Mental Health Services,454430,205641,5280365
Br Allen Chemist,495925,242609,5280364
Arlesey Pharmacy,519140,235698,5280364
Goldharts Pharmacy,505196,250076,5280364
Meiklejohn Pharmacy,506736,247925,5280364
Lindleys Chemist,504069,249452,5280364
Kays Chemist,504345,250083,5280364
Boots,443551,543911,5280364
Rockliffe Pharmacy,429635.3,509904.3,5280364
Storehouse Pharmacy,431942,546213,5280364
Boots,437993.9,545173.9,5280364
Taylors Pharmacy,419013,551805,5280364
Coundon Pharmacy,424099,529594,5280364
Day Lewis Pharmacy,394730,525490,5280364
Hancock & Ainsley Pharmacy,422809,526448,5280364
Miller's Pharmacy,425912,533985,5280364
Wolsingham Pharmacy Ltd,407627,537287,5280364
Boots,428645,532776,5280364
Bowburn Pharmacy,430672,537778,5280364
C & H (Barton) Ltd,508138.8,231104.4,5280364
Krish Chemist,510532.4,223897.9,5280364
Well Pharmacy,544524.9,210149.1,5280364
Theydon Bois Pharmacy Ltd,545421.6,199102.4,5280364
Westbourne Pharmacy,508012,222100,5280364
Mall Pharmacy,509126.3,221250.2,5280364
Calverton Pharmacy,506897.9,224717.6,5280364
SVR Chemist Ltd,526919.1,195837.9,5280364
Care Chemist,521392.8,192093,5280364
Lipkin Pharmacy,525995.3,193978.8,5280364
Rowlands Pharmacy,598996,227634,5280364
Prima Pharmacy,523610.3,195768.7,5280364
Colecross Chemist,570257,204680,5280364
Welsh Chemist,418684,526785,5280364
Tow Law Pharmacy,412041,538816,5280364
Village Pharmacy,427171,526209,5280364
Britton & Robson Ltd,419829,535164,5280364
Rowlands Pharmacy,429096,516070,5280364
Boots,425929,550843.1,5280364
Lloyds Pharmacy,428147,515343,5280364
Shotton Pharmacy,439597,541095,5280364
Wards of Warboys Chemists,530334,280083,5280364
Lloyds Pharmacy,517116,259646,5280364
Milton Road Pharmacy,545818,260139,5280364
Aqua Chemists,534877,193988,5280364
West Bergholt Pharmacy,596321,227656,5280364
Linton Pharmacy,556026,246803,5280364
Rowlands Pharmacy,518624.6,292541.8,5280364
JW Anderson Dispensing Chemist,536168.8,277931.7,5280364
Graham Young Chemist (2007) Ltd,518204.7,301008.8,5280364
Bridgenorth Road Pharmacy Ltd,388214,298797,5280364
Olton Pharmacy,413296,282255,5280364
Brooklands Pharmacy,393577,298651,5280364
Nu Cross Pharmacy,518555.8,229322.5,5280364
Ashwell Pharmacy,526835,239717,5280364
Niti Pharmacy,536091,200416,5280364
Village Pharmacy,538375,211830,5280364
Village Pharmacy,548167,214888,5280364
Bell Pharmacy,548214.2,214854,5280364
Whitefield Chemist,535892,203085,5280364
Sheffield Pharmacy,532731,212565,5280364
Day Lewis Pharmacy,349643,241475,5280364
Rowlands Pharmacy,353380.2,239494.5,5280364
Garner Chemists,514380,188307,5280364
Rasons Pharmacy,518921,185191,5280364
Edgars Chemist,522299,184746,5280364
Paster Chemist,518288,187165,5280364
Vithlani Ltd,434533,286317,5280364
Vithlani Ltd,436496,287551,5280364
Alpha Pharmacy,521224,189039,5280364
Shri Pharmacy,519387,188751,5280364
Coopers Chemist,522560,184660,5280364
Frank Wreford Chemist,521477,185895,5280364
Sudbury Court Pharmacy,516427,186636,5280364
Monkschem Ltd,519746,184527,5280364
Globe Chemist,522201,185231,5280364
Boots,516940,192266,5280364
Asda Pharmacy,519623,186500,5280364
Craig Thomson Pharmacy,523380,184763,5280364
Gudkas Chemist,521246,186058,5280364
Tesco in-store Pharmacy,521065,185345,5280364
Curapharm Chemist,515498.7,185605.7,5280364
Superdrug Pharmacy,515575,188316,5280364
G Lowe Chemist,517555,186207,5280364
Morrisons Pharmacy,518925,189509,5280364
Tesco in-store Pharmacy,511238,189902,5280364
Nowell Pharmacy,515063,190712,5280364
Lloyds Pharmacy,516830,188315,5280364
Wellcare Pharmacy,515037,190848,5280364
Lloyds Pharmacy,516593,190449,5280364
Peace Pharmacy,518467,186218,5280364
Boots,515367,188224,5280364
Boots,514125.9,186215.4,5280364
Boots,515444,189773,5280364
Niks Pharmacy,518123,183896,5280364
Boots,512051,189662,5280364
RJ's Pharmacy,518182,184218,5280364
Boots,519457,188797,5280364
Village Pharmacy,512742,191187,5280364
Well Pharmacy,520504,187511,5280364
Superdrug Pharmacy,532255.3,165823,5280364
Sudbury Chemist,516358,185619,5280364
Chana Chemist,516856,185417,5280364
Day Lewis Pharmacy,531528,167131,5280364
Day Lewis Pharmacy,533559,162661,5280364
Cedars Pharmacy,513995,190447,5280364
Parade Pharmacy,530864.8,167118.8,5280364
Tesco in-store Pharmacy,532293,168388,5280364
Kings Pharmacy,512863,186026.5,5280364
Health Pharmacy,517358,187143,5280364
Day Lewis Pharmacy,533130,169603,5280364
North Harrow Pharmacy,513495.6,188976.1,5280364
Day Lewis Pharmacy,533895,168355,5280364
Gor Pharmacy,512207,189323,5280364
Reems Pharmacy,515599,191787,5280364
Shaftesbury Pharmacy,514125,187213,5280364
Wilkes Chemist,532179,168834,5280364
Saville Pharmacy Ltd,513575.4,188630.4,5280364
Healthways Pharmacy,512990,187674,5280364
Tesco in-store Pharmacy,531261,161445,5280364
Bachus Chemist,518981,188802,5280364
Superdrug Pharmacy,530630,169630,5280364
Churchills Pharmacy,516874,188497,5280364
Boots,534259,166415,5280364
Boots,531343,161647,5280364
Webbers Chemist,515048,188510,5280364
Lloyds Pharmacy,534962,159670,5280364
K L Pharmacy,516958,189898,5280364
Superdrug Pharmacy,532369,168333,5280364
Kings Pharmacy,517748,191106,5280364
PM Williams Pharmacy,513716,185688,5280364
Boots,529875,159709,5280364
Collins Pharmacy,518206,189880,5280364
Fairview Pharmacy,519661,191007,5280364
Goldmantle Pharmacy,536684,163132,5280364
Lloyds Pharmacy,571137,274650,5280364
K L Pharmacy,513383,186346,5280364
Child & Adolescent Mental Health Services,621346,309532,5280365
Day Lewis Pharmacy,371029,237719,5280364
Asterwell Pharmacy,413012,278398,5280364
Gospel Lane Pharmacy,412567,281679,5280364
Cheswick Green Pharmacy,412658,275589,5280364
Trent Health Pharmacy Ltd,393759,347294,5280364
Tean Pharmacy Ltd,400967,339592,5280364
Ridgeways Chemist,390840.9,350921.9,5280364
Queen Street Pharmacy,386785,349736,5280364
Rowlands Pharmacy,387279,341307,5280364
Worksop Pharmacy,389286,343890,5280364
Medipharma Chemist,401253,294133,5280364
Marston Green Pharmacy,417105,285548,5280364
Saydon Pharmacy,416474,289886,5280364
Grahams Pharmacy,388418,350482,5280364
Dalvair Pharmacy,402161,286567,5280364
Peaches Pharmacy,395493,286479,5280364
Kean Pharmacy,523082,205516,5280364
W S Low Pharmacy,385457,348340,5280364
Meir Hay Pharmacy,391956,343801,5280364
McMullen Pharmacy,392765,353155,5280364
Hill Top Pharmacy,400306,286474,5280364
Jhoots Pharmacy,396559,287782,5280364
RK Pharmacy,402292,289297,5280364
Dunstones Pharmacy Ltd,400699,289332,5280364
Well Pharmacy,387129,352850,5280364
Bradwell Pharmacy,384368,349294,5280364
Eaton Park Pharmacy,390340,346522,5280364
Boots,571906,208303,5280364
Punni Pharmacy,535791,203051,5280364
J E Williamson Ltd,549709,222059.6,5280364
Buntingford Pharmacy,536192,229527,5280364
Lex Pharmacy,534401,203456,5280364
Well Pharmacy,323341,126511,5280364
Murrays Chemist,516849,188532,5280364
Boots,604486.8,259283.3,5280364
Angies Chemist,512174.5,189590.3,5280364
Boots,616297,244654,5280364
Carters Chemist,512083,189685,5280364
Lloyds Pharmacy,618181,243654,5280364
Leigh Pharmacy,520523,187677,5280364
Lloyds Pharmacy,614161,243231,5280364
Tesco in-store Pharmacy,355323,116064,5280364
Boots,578460.9,286460.4,5280364
Boots,604937,258574,5280364
Boots,630368,234752,5280364
Tesco in-store Pharmacy,612568.2,242469.4,5280364
Nacton Road Pharmacy,618672,242625,5280364
Victoria Street Pharmacy,584701,264291.3,5280364
Boots,627489,249096,5280364
Wellbeing Pharmacy,616621,244563,5280364
Fircroft Road Pharmacy,615659,247352,5280364
Belstead Hills Pharmacy,613910,242400,5280364
Combs Ford Pharmacy,604976.4,257754,5280364
Boots,611736,279916,5280364
Lloyds Pharmacy,616896.2,244605.4,5280364
Well Pharmacy,611706,279904,5280364
Boots,564344,263395,5280364
Boots,642184,290348,5280364
Superdrug Pharmacy,585283.1,264371.6,5280364
Tesco in-store Pharmacy,563660.1,265236.9,5280364
Boots,358952,174881,5280364
Boots,358486,167494,5280364
Boots,340852,171069,5280364
Boots,363681.4,189967.6,5280364
Boots,371420.6,182499,5280364
Boots,364754.6,173935.9,5280364
Boots,365398,168655,5280364
Boots,357576,176407,5280364
Boots,359128,173317,5280364
Cohens Chemist,353930,170220,5280364
Cohens Chemist,348684,168559,5280364
Boots,374971,164786,5280364
Boots,367159,177321,5280364
Boots,353165,176898,5280364
Boots,347320,170802,5280364
Bristol Pharmacy,362104,168248,5280364
Westfield Pharmacy,367633,154264,5280364
Boots,342024,157592,5280364
Lloyds Pharmacy,336456,164076,5280364
Lloyds Pharmacy,356974,168419,5280364
Ideal Pharmacy,366818,173580,5280364
Kingsdown Pharmacy,358270,173705,5280364
Well Pharmacy,358270.8,167793.9,5280364
Well Pharmacy,363676,174901,5280364
Well Pharmacy,357997,171473,5280364
Well Pharmacy,363366.2,173639.4,5280364
Asda Pharmacy,474282,170065,5280364
Minor Injuries Unit,381568,422745,5280365
Royal Derby Hospital,432726,334957,5280371
Mental Health Services - Reigate,526995.7,150145,5280365
Poole Community Health Clinic,401763,91364,5280365
Globe Pharmacy Ltd,521966.7,232804.6,5280364
Oval Pharmacy,525288,225986,5280364
Anderson Chemist Ltd,526096,223108,5280364
D P Forrest Ltd,403512,293424,5280364
Essington Pharmacy,393715,301831,5280364
Trinity Pharmacy,548886,220877,5280364
Jupiter Chemist,506796,208497,5280364
Manor Pharmacy,514360,213362,5280364
Topkins Healthcare Ltd,513543,214196,5280364
Village Pharmacy,431571,284947,5280364
Knights Rugby Pharmacy,450258,275110,5280364
Paddox Pharmacy,452519.2,273908.7,5280364
Yew Tree Pharmacy,402770,295778,5280364
Boots,401814.9,286598.8,5280364
Michaels Chemist,402245,288200,5280364
TCP Pharma Ltd,400042,291653,5280364
Friar Park Pharmacy,400366.6,294913.9,5280364
Park Lane Pharmacy,398941.9,295870.1,5280364
Rowlands Pharmacy,398191,287665,5280364
Malchem Chemist,401834,288845,5280364
Vishnu Pharmacy,400731,286782,5280364
Ashworth Pharmacy Ltd,400680.4,287758.5,5280364
Tettenhall Wood Pharmacy,387755.6,299236.5,5280364
Penn Care Pharmacy,388857.2,296602.2,5280364
Poonian Pharmacy,391470,303334,5280364
Rexall Chemist,390327.1,296750.9,5280364
Bushbury Lane Pharmacy,392121,302034,5280364
Ingrams Chemist,400090,291608,5280364
Colin Harris Ltd,410025,251847,5280364
Harbury Chemist,437279.8,259982,5280364
Maltings Pharmacy,514809,207226,5280364
Markyate Pharmacy,506071.9,216506.1,5280364
Dickmans Pharmacy,499060,207898,5280364
Jade Pharmacy,536878,207393,5280364
Woods Pharmacy,506209,208526,5280364
Byron's Chemist,504493,206373.2,5280364
Jade Pharmacy,522498,208664,5280364
Springfield Pharmacy,513490,214249,5280364
Crescent Pharmacy - Jersey Farm,517554,209297,5280364
Ivybridge Health Centre,263568,56425,5280365
Lloyds Pharmacy,365426,168572,5280364
Lloyds Pharmacy,332105,160530,5280364
Lloyds Pharmacy,363794,189986,5280364
Lloyds Pharmacy,343075,165670,5280364
Chipping Sodbury Pharmacy,372710,182238,5280364
Lloyds Pharmacy,335453,162726,5280364
Day Lewis Pharmacy,343712.6,163763.9,5280364
Tesco in-store Pharmacy,360996.9,175096.1,5280364
Oldland Common Pharmacy,367461,171370,5280364
Jhoots Pharmacy,360929,177038,5280364
Tesco in-store Pharmacy,332175,161261,5280364
Tesco in-store Pharmacy,340678,170286,5280364
Cohens Chemist,347651,170893,5280364
Preddy Newco,373769.7,164278.1,5280364
Lloyds Pharmacy,379028,416951,5280364
Manor Pharmacy,379313,412544,5280364
Lloyds Pharmacy,358303,178477,5280364
Lloyds Pharmacy,363377,175847,5280364
Mile Lane Pharmacy,377904,410237,5280364
Lloyds Pharmacy,361602,173547,5280364
Lloyds Pharmacy,374447.5,164747.5,5280364
Tesco in-store Pharmacy,362094,181964,5280364
Prestwich Pharmacy Ltd,381275.1,404140.4,5280364
Lloyds Pharmacy,354421,178313,5280364
Oldham Road Pharmacy,390462,411665,5280364
Barash Pharmacy,380658.3,405750,5280364
Morrisons Pharmacy,363146,175663,5280364
Formans Chemist,382902,402525,5280364
Morrisons Pharmacy,336518,161869,5280364
Sedgely Park Pharmacy,382043,402524,5280364
Botterills Pharmacy,435725,291710,5280364
Superdrug Pharmacy,360692,170758,5280364
Lloyds Pharmacy,361709.5,178946.6,5280364
Bills Pharmacy,384597,283345,5280364
Jhoots Pharmacy,373711,162371,5280364
Millstream Pharmacy,394200,305021,5280364
Stoneydelph Pharmacy,423825,302228,5280364
Co-Chem Dispensing Chemists,406275,289827,5280364
Manor Pharmacy,424433,322133,5280364
Lister Chemist,436826,291276,5280364
Northwood Pharmacy Brereton,405231,316560,5280364
Wylde Green Pharmacy,411834,293053,5280364
Superdrug Pharmacy,374948,164786,5280364
Abbotswood Pharmacy,370653,181242,5280364
Xtreme Pharmacy,406700,289987,5280364
Bedminster Pharmacy,358350,171508,5280364
Health Plus Pharmacy,407453.1,290683.5,5280364
Superdrug Pharmacy,359211,173354,5280364
Boots,377677,148110,5280364
Tesco in-store Pharmacy,354540,145441,5280364
Mohammedi Pharmacy,410824,286412,5280364
The Coastal Idt,619334,244206,5280365
Integrated Child Health Services,553849.1,185503.2,5280365
Community Learning Disabilities,417377,285477,5280365
Department of Psychological Services,340620.3,555710.2,5280365
The Mulberry Centre,428178,515187,5280365
Hundens Lane Centre,430031.1,514443.7,5280365
M&M Pharmacy,420983,529367,5280364
M&M Pharmacy,422889,526596,5280364
Smith Chemist,422932,542696.9,5280364
Smith Chemist,419127,541708,5280364
Smith Chemist,427337.6,545012.6,5280364
Nash Chemist,503546,206754,5280364
Yogi Pharmacy,562691.3,222049.1,5280364
Ropers Pharmacy,562745.1,221989.2,5280364
Verulam Pharmacy,513315,206569,5280364
Globe Pharmacy Chiswell,513371,204613,5280364
Cheshunt Pharmacy,534810,202154,5280364
Bedwell Pharmacy,524682.5,224178.2,5280364
Croft Chemist,536612,205737,5280364
Leigh Pharmacy,584136,185947,5280364
Day Lewis Pharmacy,586286,186590,5280364
Leigh Pharmacy,584188,187379,5280364
Miltons Chemist Ltd,387611,345143,5280364
Miltons Chemist Ltd,390396.6,348586.5,5280364
Millers Pharmacy,391191.1,342416.2,5280364
Millers Chemist,377579,345187,5280364
Thomas Walker Pharmacy,519245,299924,5280364
Granville Pharmacy,519294,299672,5280364
Millfield Pharmacy,518777,300431,5280364
Shah Pharmacy,535776,199150,5280364
Hutchins Chemist,542183,196103,5280364
Coyle Chemist,536039,200589,5280364
Rowlands Pharmacy,585755.2,208065.1,5280364
Lister Chemist,514759,194192,5280364
Triangle Healthcare (UK) Ltd,513878,195675,5280364
The Heath Pharmacy,514809,194213,5280364
D B Jones Chemist,512003,193397,5280364
Parade Pharmacy,502345,196237,5280364
Tee K Enterprise Ltd,512714,197543,5280364
Jade Pharmacy,514979,207685,5280364
Normandy Pharmacy,514617,208138,5280364
Metro Pharmacy Ltd,518858,197967,5280364
Villiage Pharmacy,520872,196264,5280364
Abbey Pharmacy,509506,202075,5280364
Quadrant Pharmacies,516903,208664,5280364
Meera Pharmacy,515818,208915,5280364
Acorn Pharmacy,498968,207946,5280364
Village Pharmacy,508373.4,206665.3,5280364
Kasli Pharmacy,434557,291631,5280364
Garchay's Chemist,436044,291242,5280364
Deakin Chemist,435662.4,292282.1,5280364
Magson Pharmacy,439212.1,286570.2,5280364
Skeltons Chemist,435867,287013,5280364
Ivens Dispensing Chemist,431928.4,264492.6,5280364
Stratwicks Ltd,428325,266337,5280364
Cross Chemist,517815.1,230068.3,5280364
Grange Pharmacy,521868,234031.2,5280364
Dogsthorpe Pharmacy,519913,301081,5280364
Chave & Jackson,350914.4,239958,5280364
Chandos Pharmacy,351321.1,239807.2,5280364
St Albans Pharmacy,516606,206347,5280364
Codicote Pharmacy,521769,218122,5280364
Lloyds Pharmacy,313753,120481,5280364
M W Phillips Chemists,410928,304612,5280364
Superdrug Pharmacy,355668,115938,5280364
Boots,371436,128696,5280364
Well Pharmacy,330447,149243,5280364
Magrath Pharmacy,422847.4,302754.6,5280364
Acorn Pharmacy,377801,147339,5280364
Morrisons Pharmacy,322664,124987,5280364
Primary Care Pharmacy,420705.4,304375.8,5280364
Fazeley Pharmacy,420488,301864,5280364
Lloyds Pharmacy,389281,415261,5280364
Coven Pharmacy,390924,306663,5280364
Well Pharmacy,387604,413995,5280364
Hawthorne Chemist,396199,303703,5280364
Roots Chemist,407472.9,290017.8,5280364
Eason Chemist,422357,301317,5280364
Asda Pharmacy,378323.3,406793.5,5280364
Peak Pharmacy,423156,304298,5280364
Cohens Chemist,380299.1,410446.2,5280364
Chemipharm,406422,289468,5280364
Superdrug Pharmacy,389581,413465,5280364
Lloyds Pharmacy,390555.5,414161.6,5280364
Deu-Chem Ltd,404434,289507,5280364
Drugmart Pharmacy,389136,413722,5280364
Hamstead Pharmacy,404932.2,292646.7,5280364
Penn Hill Pharmacy,355680,115875,5280364
Tesco in-store Pharmacy,380876,404322,5280364
Tesco in-store Pharmacy,380562.6,411235.2,5280364
Touchwood Pharmacy,400453.5,299019.2,5280364
Alcombe Pharmacy,297551,145267,5280364
Whitehouse Pharmacy,392387,314169,5280364
Quantock Pharmacy,307093,143288,5280364
Tamworth Pharmacy,420280.8,305113.8,5280364
Stevenson Chemist,397942,307063,5280364
Alrewas Pharmacy,417025,315025,5280364
Day Lewis Pharmacy,308078.8,127826.5,5280364
Rowlands Pharmacy,392090,324078,5280364
Northwood Pharmacy Hillsprings,403621,318849.2,5280364
Milborne Port Pharmacy,367700,118622,5280364
Wood End Pharmacy,410848.2,291152.1,5280364
K V Hartshorne (Chemists) Ltd,403137.6,302499.4,5280364
Well Pharmacy,405125.4,303683.3,5280364
Rowlands Pharmacy,401770,298061.2,5280364
Harding Pharmacy,397929.8,299908.6,5280364
Prinja Pharmacy,412871,291433,5280364
Prinja Pharmacy,413310,291630,5280364
Gill Pharmacy,404200,290698,5280364
Peak Pharmacy,414356,296171,5280364
Star Pharmacy,406492.7,292082,5280364
Rowlands Pharmacy,420971,304331,5280364
Boots,434031,290981,5280364
Brown's Chemist,431480.4,291884.1,5280364
Lloyds Pharmacy,432798,293387.6,5280364
Boots,435927.3,287007.3,5280364
Lloyds Pharmacy,438404,289953,5280364
Asda Pharmacy,436286.4,292253.1,5280364
Lloyds Pharmacy,404482,309380,5280364
Jhoots Pharmacy,406424.9,308926.9,5280364
Lloyds Pharmacy,404586,309392.9,5280364
Kelso Hospital,372656,634442,5280371
The Knoll Hospital,378680,653305,5280371
St Lukes Hospital,415760.3,431878.7,5280371
Beckenham Beacon,536898,169191,5280371
Manchester Royal Eye Hospital,385178,396099,5280371
Joseph Palmer Centre,513295,168386,5280365
Bridge Centre,321729.6,204364.3,5280365
Community Nurses Department,502026.1,370509.3,5280365
Manchester Drug Service South,382666,387004.9,5280365
Mental Health Services,378848,401020,5280365
Allcures Pharmacy,570821.4,187857.7,5280364
Allcures Pharmacy,571060,189162,5280364
Longthornes Pharmacy,585796,186405,5280364
Longthornes Chemist,586794,186247,5280364
Parkview Pharmacy,529549,196127,5280364
Vinods Pharmacy,589813,186732,5280364
Rowlands Pharmacy,585127,186128,5280364
Earls Hall Pharmacy,587314,187609,5280364
Kalsons Chemist,586982,187784,5280364
Petter Pharmacy,530072,188461,5280364
Rowlands Pharmacy,615926,216371,5280364
Rowlands Pharmacy,615130,213753,5280364
J & L C Clark Chemists,430660,543591,5280364
Howells & Harrison Pharmacy,589676,185427,5280364
Thorpe Bay Pharmacy,591552,185480,5280364
Woodlands Chemist,507751.3,223023.4,5280364
Bishopscote Chemist,507658.8,223319.6,5280364
Avicenna Pharmacy,574454,193314,5280364
Mountford Chemist,526408.1,196178.6,5280364
Greenfield Pharmacy,525569.7,195724.4,5280364
Rowlands Pharmacy,505386,225142,5280364
Eastware Pharmacy,535926,214298,5280364
St Andrews Pharmacy,532306,212610,5280364
Potter Street Pharmacy,547335,208710,5280364
Rowlands Pharmacy,448451.7,271279.2,5280364
Abbott Pharmacy,528369.5,190648.1,5280364
Boots,505571,206894,5280364
Lloyds Pharmacy,514721,206195,5280364
Lloyds Pharmacy,506054.9,205292.5,5280364
Boots,523897.5,212919.5,5280364
Boots,535654.5,240579.2,5280364
Boots,528791,189699,5280364
Boots,507163,202747,5280364
Boots,572894,205061,5280364
Boots,509488,202013,5280364
Boots,524326,212428,5280364
Boots,507186,205968,5280364
Lloyds Pharmacy,492312.7,211394.2,5280364
Russell Avenue Pharmacy,514674,207477,5280364
West Street Pharmacy,501829,221850,5280364
Mayfield Pharmacy,502952,221004,5280364
Jardines Pharmacy,505874,223588,5280364
Well Pharmacy,524808,222279,5280364
Asif's New Pharmacy,581038,187082,5280364
Well Pharmacy,517578,204457,5280364
Melbourne Pharmacy,569413,208426,5280364
Dips Chemist,564790,179276,5280364
Tesco in-store Pharmacy,519817.2,196629.6,5280364
Riverview Pharmacy,564422,178525,5280364
Morrisons Pharmacy,516675,207213,5280364
Hubert Figg Pharmacy,499494,207681,5280364
Asda Pharmacy,511415.5,199083.8,5280364
Superdrug Pharmacy,505512.1,206862.7,5280364
Lloyds Pharmacy,518430,203303,5280364
BRO Hafren CMHT,310735,291756,5280365
Lloyds Pharmacy,392136,323013,5280364
Dean & Smedley Ltd,425304,326292,5280364
Cornwells Chemist,391162.3,324969.1,5280364
Rugeley Pharmacy,404420.3,317917.9,5280364
Lloyds Pharmacy,404224.9,317406.6,5280364
Lloyds Pharmacy,386356.6,299749.5,5280364
Lloyds Pharmacy,387304,303009,5280364
Lloyds Pharmacy,392064,321102,5280364
Primary Care Pharmacy,436233,291424,5280364
Well Pharmacy,435965.8,286916.6,5280364
Boots,436274,291764,5280364
Lloyds Pharmacy,437771,290867,5280364
Boots,409194,333475,5280364
Boots,411840.7,309541.6,5280364
Boots,404462,317993,5280364
Boots,392163.1,323273.7,5280364
Boots,390240,333817,5280364
Well Pharmacy,398528,310227,5280364
Dean & Smedley Pharmacy,421340,329015,5280364
Dean & Smedley Chemist,424459,324306,5280364
Medisure Pharmacy,401263.8,297695.2,5280364
Morrisons Pharmacy,401686.8,298780.4,5280364
Lloyds Pharmacy,401633.4,298809,5280364
Superdrug Pharmacy,392264,323144,5280364
Tesco in-store Pharmacy,412151.4,309726.7,5280364
Well Pharmacy,391382,322647,5280364
Well Pharmacy,420604,304085,5280364
Medisure Pharmacy,401534,297487,5280364
Lloyds Pharmacy,404447,305716,5280364
Touchwood Pharmacy,402295.3,303447.7,5280364
Lloyds Pharmacy,413990.6,291107.8,5280364
Boots,411087,291914,5280364
Boots,344092,109688,5280364
Boots,412082,290186.9,5280364
Well Pharmacy,401107.2,299605.2,5280364
Boots,410385.9,299170.9,5280364
Lloyds Pharmacy,411756,293033,5280364
Lloyds Pharmacy,413608,293619,5280364
Vesey Pharma,412075,295548,5280364
Well Pharmacy,397503,296424,5280364
Boots,396319.1,298547.1,5280364
Well Pharmacy,405564.5,292983.3,5280364
Mw Phillips Chemist,407804,293742,5280364
Boots,406706.8,291102,5280364
Asda Pharmacy,415039.7,292780.4,5280364
Boots,411814,293206,5280364
Boots,412049,295556,5280364
M W Phillips Chemist,407840,293842,5280364
Phillips Chemist,409295,294055,5280364
M W Phillips Chemists,407216.7,294011.9,5280364
Boots,407975,294945,5280364
Superdrug Pharmacy,411136.7,291878.7,5280364
Mw Phillips Chemist,411144.7,290867.5,5280364
Lloyds Pharmacy,406418.7,293123.2,5280364
Boots,296894.3,146200.9,5280364
Boots,330469,148884.3,5280364
Superdrug Pharmacy,329956,137033,5280364
Boots,354312.7,145115.3,5280364
Boots,313943,120627,5280364
Boots,332147,108603,5280364
Boots,336163,114518,5280364
Victoria Community Hospital,400384,100293,5280371
Swanage Community Hospital,402841,78422,5280371
Delphwood,402458,94217,5280365
Annan Hospital,320301,566716,5280371
Queen Victoria Memorial Hospital,522564,215864,5280371
Ryegate Children's Centre,432516,386857,5280365
Mental Health Services,456601,341499,5280365
Dartmouth Clinic,287722,51505,5280365
Totnes Community Hospital,280482,60569,5280371
Wolverton Health Centre,481356.6,240195.3,5280365
Stony Stratford Health Centre,478728,240385,5280365
Newport Pagnell Medical Centre,487438,243890,5280365
Community Nurses Office,488860,251713,5280365
Sovereign Medical Centre,486067,241026,5280365
Central Milton Keynes Medical Centre,484112,238880,5280365
Fishermead Health Centre,486012,238274,5280365
Watling Vale Medical Centre,483216,237031,5280365
Hilltops Medical Centre,482558,238181,5280365
Community Nurses Office,489408.9,239174.4,5280365
Water Eaton Health Centre,487612,231968,5280365
Central Bletchey Community Nurses Office,487757,233855,5280365
City South Lmht,458575,340400,5280365
Leominster Community Hospital,349626.3,258600.8,5280371
Ross Community Hospital,359966.5,223943.5,5280371
Bromyard Community Hospital,365449,254351,5280371
Wye Valley Community Nursing,330012.8,256709.4,5280365
DASH (Drug Service Herefordshire),351416.3,240290.8,5280365
Lloyds Pharmacy,432888.7,267284,5280364
Stanley Pharmacy,419356,552780,5280364
Lloyds Pharmacy,432073.2,266253.3,5280364
Duggal Chemist,396920,292012,5280364
Duggal Chemist,396245,291776,5280364
Boots,429006,271651.9,5280364
Wilyman Chemist,507391,196135,5280364
RO Pharmacy,502478,196074,5280364
Boots,428816.5,271679.4,5280364
Boots,431798.6,266113.4,5280364
Lillington Pharmacy,432665.4,267302.4,5280364
Woodhall Pharmacy,507990,210245,5280364
Lloyds Pharmacy,431018,264586.4,5280364
Superdrug Pharmacy,431741.8,265926.2,5280364
Grove Hill Pharmacy,506542,209358,5280364
Tesco in-store Pharmacy,429875.7,265419,5280364
Birk & Nagra Pharmacy,432188.8,265070.6,5280364
Birk & Nagra Pharmacy,431997,265278,5280364
Landy's Chemist,524792.3,188839,5280364
Birk & Nagra Pharmacy,433070.8,265065.2,5280364
Birk & Nagra Pharmacy,432078.8,264931.6,5280364
Zaxgate Ltd,523423,189066.9,5280364
Birk & Nagra Pharmacy,432244,263531,5280364
Asda Pharmacy,570828,188475,5280364
Lloyds Pharmacy,502474,222181.2,5280364
Lloyds Pharmacy,521769.9,188456.2,5280364
Lloyds Pharmacy,408932,257329,5280364
Henley Pharmacy,415108,266058,5280364
Lloyds Pharmacy,524019.3,271964.1,5280364
Lloyds Pharmacy,350395.8,239844.8,5280364
Tesco in-store Pharmacy,419612,256096,5280364
Lloyds Pharmacy,412408,278230,5280364
Lloyds Pharmacy,521209.7,300352.6,5280364
Boots,420234,254947,5280364
Lloyds Pharmacy,508625,221639,5280364
Lloyds Pharmacy,430802,297801,5280364
Tesco in-store Pharmacy,383702.4,354726.9,5280364
Lloyds Pharmacy,419999,289019,5280364
Tesco in-store Pharmacy,385981,344169,5280364
Tesco in-store Pharmacy,349342,238469,5280364
Lloyds Pharmacy,420029,288955,5280364
Tesco in-store Pharmacy,350770,240102,5280364
Tesco in-store Pharmacy,573519,187838,5280364
Lloyds Pharmacy,426245,300667,5280364
Tesco in-store Pharmacy,558083,179131,5280364
Lloyds Pharmacy,421695,296379,5280364
Tesco in-store Pharmacy,517847,295063,5280364
Lloyds Pharmacy,426152,302432,5280364
Tesco in-store Pharmacy,571186.3,206791.9,5280364
Lloyds Pharmacy,417575,291149,5280364
Tesco in-store Pharmacy,600923,227541,5280364
Lloyds Pharmacy,450884.4,274988.1,5280364
